scale_of_number_of_assets;scale_of_quantity_of_assets;scale_of_allocation_weights;rebalance_kind;scale_of_rebalance_amount;investment_portfolio_id;rebalance_order_id;rebalance_id;current_variation_percentage_total_sum;projected_variation_percentage_total_sum;variation_percentage_reduction;execution_time_in_seconds
2..50;2..50;random;default_rebalance;-;5513;6812;6543;4807,05;0,0;100,0;0,45
2..50;2..50;random;default_rebalance_with_deposit;1..33;5513;6813;6544;4807,05;0,0;100,0;0,37
2..50;2..50;random;default_rebalance_with_deposit;34..66;5513;6814;6545;4807,05;0,0;100,0;0,36
2..50;2..50;random;default_rebalance_with_deposit;67..99;5513;6815;6546;4807,05;0,0;100,0;0,41
2..50;2..50;random;default_rebalance_with_deposit;100..200;5513;6816;6547;4807,05;0,0;100,0;0,38
2..50;2..50;random;default_rebalance_with_withdrawal;1..33;5513;6817;6548;4807,05;0,0;100,0;0,38
2..50;2..50;random;default_rebalance_with_withdrawal;34..66;5513;6818;6549;4807,05;0,0;100,0;0,4
2..50;2..50;random;default_rebalance_with_withdrawal;67..99;5513;6819;6550;4807,05;0,0;100,0;0,37
2..50;2..50;random;contribution_rebalance;1..33;5513;6820;6551;4807,05;4515,62;6,06;0,56
2..50;2..50;random;contribution_rebalance;34..66;5513;6821;6552;4807,05;2960,26;38,41;0,86
2..50;2..50;random;contribution_rebalance;67..99;5513;6822;6553;4807,05;1867,05;61,16;0,81
2..50;2..50;random;contribution_rebalance;100..200;5513;6823;6554;4807,05;1099,38;77,12;0,9
2..50;51..100;random;default_rebalance;-;5514;6824;6555;5962,94;0,0;100,0;0,34
2..50;51..100;random;default_rebalance_with_deposit;1..33;5514;6825;6556;5962,94;0,0;100,0;0,3
2..50;51..100;random;default_rebalance_with_deposit;34..66;5514;6826;6557;5962,94;0,0;100,0;0,29
2..50;51..100;random;default_rebalance_with_deposit;67..99;5514;6827;6558;5962,94;0,0;100,0;0,31
2..50;51..100;random;default_rebalance_with_deposit;100..200;5514;6828;6559;5962,94;0,0;100,0;0,3
2..50;51..100;random;default_rebalance_with_withdrawal;1..33;5514;6829;6560;5962,94;0,0;100,0;0,31
2..50;51..100;random;default_rebalance_with_withdrawal;34..66;5514;6830;6561;5962,94;0,0;100,0;0,31
2..50;51..100;random;default_rebalance_with_withdrawal;67..99;5514;6831;6562;5962,94;0,0;100,0;0,32
2..50;51..100;random;contribution_rebalance;1..33;5514;6832;6563;5962,94;4246,96;28,77;0,31
2..50;51..100;random;contribution_rebalance;34..66;5514;6833;6564;5962,94;3123,62;47,61;0,32
2..50;51..100;random;contribution_rebalance;67..99;5514;6834;6565;5962,94;2343,35;60,7;0,32
2..50;51..100;random;contribution_rebalance;100..200;5514;6835;6566;5962,94;1596,63;73,22;0,79
2..50;101..150;random;default_rebalance;-;5515;6836;6567;71877,25;0,0;100,0;0,72
2..50;101..150;random;default_rebalance_with_deposit;1..33;5515;6837;6568;71877,25;0,0;100,0;0,74
2..50;101..150;random;default_rebalance_with_deposit;34..66;5515;6838;6569;71877,25;0,0;100,0;0,62
2..50;101..150;random;default_rebalance_with_deposit;67..99;5515;6839;6570;71877,25;0,0;100,0;0,39
2..50;101..150;random;default_rebalance_with_deposit;100..200;5515;6840;6571;71877,25;0,0;100,0;0,31
2..50;101..150;random;default_rebalance_with_withdrawal;1..33;5515;6841;6572;71877,25;0,0;100,0;0,3
2..50;101..150;random;default_rebalance_with_withdrawal;34..66;5515;6842;6573;71877,25;0,0;100,0;0,3
2..50;101..150;random;default_rebalance_with_withdrawal;67..99;5515;6843;6574;71877,25;0,0;100,0;0,32
2..50;101..150;random;contribution_rebalance;1..33;5515;6844;6575;71877,25;65255,98;9,21;0,3
2..50;101..150;random;contribution_rebalance;34..66;5515;6845;6576;71877,25;43815,43;39,04;0,28
2..50;101..150;random;contribution_rebalance;67..99;5515;6846;6577;71877,25;36152,71;49,7;0,29
2..50;101..150;random;contribution_rebalance;100..200;5515;6847;6578;71877,25;24978,88;65,24;0,32
2..50;151..200;random;default_rebalance;-;5516;6848;6579;2768,74;0,0;100,0;0,05
2..50;151..200;random;default_rebalance_with_deposit;1..33;5516;6849;6580;2768,74;0,0;100,0;0,05
2..50;151..200;random;default_rebalance_with_deposit;34..66;5516;6850;6581;2768,74;0,0;100,0;0,05
2..50;151..200;random;default_rebalance_with_deposit;67..99;5516;6851;6582;2768,74;0,0;100,0;0,05
2..50;151..200;random;default_rebalance_with_deposit;100..200;5516;6852;6583;2768,74;0,0;100,0;0,05
2..50;151..200;random;default_rebalance_with_withdrawal;1..33;5516;6853;6584;2768,74;0,0;100,0;0,05
